,,,,,,,,,,,,
,,,,,,,,,,,,
,,,20 DRY,,,,,,,,,
,,,Trade,Origin,Destination,OHC,DHC,ERS,SBF,LSS,PSS,
,,,A2S,Shanghai,Sydney,625 CNY,505 AUD,Not applicable,Inclusive,Not applicable,0,
,,,A2S,Singapore,Sydney,215 SGD,505 AUD,Not applicable,Inclusive,Not applicable,0,
,,,A2S,Jakarta,Sydney,95 USD,505 AUD,Not applicable,Inclusive,Not applicable,0,
,,,A2S,Yantian,Sydney,565 CNY,505 AUD,Not applicable,Inclusive,Not applicable,0,
,,,A2S,Qingdao,Sydney,625 CNY,505 AUD,Not applicable,Inclusive,Not applicable,0,
,,,A2S,Laem Chabang,Sydney,2800 THB,505 AUD,Not applicable,Inclusive,Not applicable,0,
,,,A2S,Busan,Sydney,120000 KRW,505 AUD,Not applicable,Inclusive,Not applicable,0,
,,,C1E,Tanjun Peleppas,Valparaiso,390 MYR,Inclusive,Not applicable,Inclusive,Not applicable,0,
,,,C1E,Tanjun Peleppas,Lazaro Cardenas,390 MYR,no DHC,Not applicable,Inclusive,Not applicable,0,
,,,C1E,Tanjun Peleppas,Balboa,390 MYR,215 USD,Not applicable,Inclusive,Not applicable,0,
,,,C1E,Shanghai,Valparaiso,625 CNY,Inclusive,Not applicable,Inclusive,Not applicable,0,
,,,C1E,Shanghai,Manzanillo,625 CNY,215 USD,Not applicable,Inclusive,Not applicable,0,
